Date,Actual_Close,Predicted_Close,Predicted_Close_Minimum,Predicted_Close_Maximum,Percent_Change_from_Close,Actual_Up_Down,Predicted_Up_Down,Company
2022-07-04,1355.650024,,,,,Down,nan,HDFCBANK.NS
2022-07-05,1352.599976,1391.834039569143,1346.8354952261086,1440.3373546289708,-2.900640563751054,Down,Down,HDFCBANK.NS
2022-07-06,1371.25,1392.2757853560215,1348.4879048480834,1439.3358212251571,-1.533329834532107,Up,Up,HDFCBANK.NS
2022-07-07,1395.800049,1389.212592412176,1340.0650196584904,1430.9724036170976,0.4719484422244714,Up,Down,HDFCBANK.NS
2022-07-08,1397.099976,1388.7094508458658,1339.71838850312,1437.1838730709496,0.6005672677882959,Up,Down,HDFCBANK.NS
2022-07-11,1406.150024,1391.4221403290394,1343.958574459143,1439.229268041855,1.0473906353935842,Up,Up,HDFCBANK.NS
2022-07-12,1391.800049,1390.1291144909512,1341.7863614592006,1436.7307648720976,0.1200556437865681,Down,Down,HDFCBANK.NS
2022-07-13,1357.849976,1400.2949395883052,1354.3153537273363,1449.7966221377794,-3.125894932320948,Down,Up,HDFCBANK.NS
2022-07-14,1351.050049,1395.451997156906,1348.0349066906622,1443.9216510550796,-3.286476928798528,Down,Down,HDFCBANK.NS
2022-07-15,1362.050049,1394.741414780381,1342.8745401513445,1441.4203387534376,-2.400158922528782,Up,Down,HDFCBANK.NS
2022-07-18,1347.550049,1384.8471499514956,1339.8178823593605,1430.5799963546303,-2.767771110184244,Down,Down,HDFCBANK.NS
2022-07-19,1348.050049,1391.8306588236203,1347.0466277607006,1439.2912486713342,-3.2476991381809284,Up,Up,HDFCBANK.NS
2022-07-20,1365.050049,1390.8522478083707,1343.844361918016,1436.7276710869432,-1.8902016689624543,Up,Down,HDFCBANK.NS
2022-07-21,1360.75,1385.2622916190376,1338.0103832507366,1433.7709025487022,-1.8013809751267735,Down,Down,HDFCBANK.NS
2022-07-22,1392.5,1401.4377190814796,1358.8925064834575,1449.9122218013993,-0.6418469717400072,Up,Up,HDFCBANK.NS
2022-07-25,1396.599976,1368.9484038009764,1323.6330198415003,1414.882867499928,1.979920712745564,Up,Down,HDFCBANK.NS
2022-07-26,1393.75,1376.736808158321,1331.1002576399178,1425.5506161515584,1.220677441555438,Down,Up,HDFCBANK.NS
2022-07-27,1404.400024,1386.9350434055095,1341.7144115393055,1435.9302427935754,1.2435901663364324,Up,Up,HDFCBANK.NS
2022-07-28,1416.849976,1372.563700310332,1326.3383948500575,1421.1203764173622,3.1256856011456744,Up,Down,HDFCBANK.NS
2022-07-29,1434.199951,1392.803511743766,1347.0794258388346,1439.4337576626117,2.886378515587753,Up,Up,HDFCBANK.NS
2022-08-01,1446.150024,1377.937644813629,1334.6641408725582,1426.1539912510364,4.716825920847267,Up,Down,HDFCBANK.NS
2022-08-02,1430.25,1384.2185195993434,1337.5888752703052,1430.8089126173886,3.2184219822168583,Down,Up,HDFCBANK.NS
2022-08-03,1433.599976,1403.2016923147269,1357.077462624081,1448.6498042650155,2.12041602916943,Up,Up,HDFCBANK.NS
2022-08-04,1431.900024,1424.0223354083996,1379.1254505978093,1468.7185718069245,0.5501563279253369,Down,Up,HDFCBANK.NS
2022-08-05,1427.050049,1414.9791053414904,1368.6401918599845,1463.9019713034045,0.845866875304636,Down,Down,HDFCBANK.NS
2022-08-08,1462.050049,1434.3168283969587,1386.0578080563664,1482.5928410696422,1.8968721776665536,Up,Up,HDFCBANK.NS
2022-08-10,1466.300049,1437.0473642413388,1391.8597880975055,1482.2519030534604,1.994999916873166,Up,Up,HDFCBANK.NS
2022-08-11,1485.699951,1459.3123220840682,1416.539977482052,1509.3506651404864,1.7761075443376535,Up,Up,HDFCBANK.NS
2022-08-12,1485.150024,1456.666534546675,1410.581991785353,1505.408049754256,1.9178863409778384,Down,Down,HDFCBANK.NS
2022-08-16,1502.150024,1455.6511182491713,1408.838460139875,1500.459040002282,3.0954901313391536,Up,Down,HDFCBANK.NS
2022-08-17,1509.900024,1459.0944210903,1415.9230864848485,1508.8714725105804,3.3648322473104453,Up,Up,HDFCBANK.NS
2022-08-18,1511.699951,1465.152413774911,1418.185139141401,1512.81471223808,3.0791518643826903,Up,Up,HDFCBANK.NS
2022-08-19,1493.050049,1466.938441437649,1422.8740856766003,1511.1533639179777,1.7488769100432784,Down,Up,HDFCBANK.NS
2022-08-22,1470.349976,1472.9545544383925,1428.7860774066742,1520.414470722787,-0.1771400333870265,Down,Up,HDFCBANK.NS
2022-08-23,1465.800049,1477.2634100028731,1431.7648019078906,1523.0073317263357,-0.7820548928685019,Down,Up,HDFCBANK.NS
2022-08-24,1472.849976,1466.2157272382274,1420.883772011343,1510.588058732182,0.4504361523493412,Up,Down,HDFCBANK.NS
2022-08-25,1464.849976,1472.9416824542975,1424.204833509281,1522.896105029845,-0.5523914794601148,Down,Up,HDFCBANK.NS
2022-08-26,1465.099976,1478.700107333624,1435.867585700808,1524.347271761086,-0.9282732616483352,Up,Up,HDFCBANK.NS
2022-08-29,1439.400024,1499.5989963832824,1454.5535208304289,1544.4795343418616,-4.182226718045571,Down,Up,HDFCBANK.NS
2022-08-30,1486.099976,1502.2143327678405,1456.609609108765,1547.8472841549203,-1.084338673580632,Up,Up,HDFCBANK.NS
2022-09-01,1472.150024,1507.7426788270789,1460.3717726156829,1552.3422142703005,-2.4177328564903675,Down,Up,HDFCBANK.NS
2022-09-02,1485.5,1510.1775608723422,1463.4379225789394,1553.57900976558,-1.6612292744760793,Up,Up,HDFCBANK.NS
2022-09-05,1495.050049,1527.484480253199,1482.923652412901,1575.3034220760485,-2.1694545460129366,Up,Up,HDFCBANK.NS
2022-09-06,1489.349976,1530.067731088905,1483.651034845774,1575.525712439908,-2.7339279380298622,Down,Up,HDFCBANK.NS
2022-09-07,1482.300049,1531.4713161782252,1481.485625240972,1578.3775075468504,-3.317227656532663,Down,Up,HDFCBANK.NS
2022-09-08,1497.599976,1526.4590564059883,1480.477469699645,1573.197896502716,-1.9270219597004308,Up,Down,HDFCBANK.NS
2022-09-09,1498.599976,1528.1933304014924,1478.683354921394,1574.06828547117,-1.9747334095441376,Up,Up,HDFCBANK.NS
2022-09-12,1493.550049,1527.4450320073222,1484.0494754123547,1575.4423277885658,-2.269423982813063,Down,Down,HDFCBANK.NS
2022-09-13,1513.099976,1525.1705698900855,1477.27626144206,1574.7487875160966,-0.7977393484596519,Up,Down,HDFCBANK.NS
2022-09-14,1528.650024,1524.391109442528,1475.220313405324,1574.0631693049604,0.2786062532696531,Up,Down,HDFCBANK.NS
2022-09-15,1520.699951,1523.3552669957562,1478.3292476188578,1570.6171024519194,-0.1746114342944537,Down,Down,HDFCBANK.NS
2022-09-16,1492.75,1518.701288159085,1468.6110187216536,1566.0084463340274,-1.7384885720371748,Down,Down,HDFCBANK.NS
2022-09-19,1502.599976,1518.8325882473396,1468.8311722479723,1568.071451524339,-1.0803016442574205,Up,Up,HDFCBANK.NS
2022-09-20,1520.699951,1523.202390449191,1474.5558218765646,1573.0171140528607,-0.164558396121819,Up,Up,HDFCBANK.NS
2022-09-21,1518.349976,1547.50795290689,1495.3369271094955,1595.0326227927408,-1.9203725997154493,Down,Up,HDFCBANK.NS
2022-09-22,1486.0,1547.5042719171406,1492.957885675382,1597.1778632849544,-4.138914664679718,Down,Down,HDFCBANK.NS
2022-09-23,1446.150024,1537.4036428935274,1483.9853196271742,1590.9055050489926,-6.310107345648901,Down,Down,HDFCBANK.NS
2022-09-26,1426.650024,1565.4718900174114,1511.571414569449,1617.4633610794174,-9.730618139141557,Down,Up,HDFCBANK.NS
2022-09-27,1413.849976,1562.5024868403148,1505.7950873407867,1614.5140924764594,-10.514022941873629,Down,Down,HDFCBANK.NS
2022-09-28,1389.550049,1589.596544954995,1527.5556334440626,1643.3016741090728,-14.396494469483825,Down,Up,HDFCBANK.NS
2022-09-29,1382.349976,1590.4827093774402,1529.443011938365,1645.2897628856078,-15.05644279603476,Down,Up,HDFCBANK.NS
2022-09-30,1421.349976,1569.521450484047,1510.940633105764,1625.0571969042064,-10.424700248775796,Up,Down,HDFCBANK.NS
2022-10-03,1413.199951,1592.186132153272,1529.7262598171176,1650.8635860205156,-12.665311870879895,Down,Up,HDFCBANK.NS
2022-10-04,1453.0,1613.242550235923,1548.6032823379303,1672.825508003997,-11.028392996278258,Up,Up,HDFCBANK.NS
2022-10-06,1437.0,1599.4273338458054,1533.2026191929497,1659.1963788334783,-11.303224345567529,Down,Down,HDFCBANK.NS
2022-10-07,1430.800049,1593.8152581736467,1522.40449252739,1656.062947847853,-11.393290717845565,Down,Down,HDFCBANK.NS
2022-10-10,1415.0,1594.645042809943,1522.286827849987,1659.1503687844884,-12.695762742752162,Down,Up,HDFCBANK.NS
2022-10-11,1400.650024,1620.415970704289,1549.743969300387,1687.670969403482,-15.69028257870426,Down,Up,HDFCBANK.NS
2022-10-12,1409.800049,1619.4173699456107,1547.7413981410068,1684.4683961897767,-14.868585165271956,Up,Down,HDFCBANK.NS
2022-10-13,1393.599976,1607.5983628571173,1525.9657117591855,1675.8331044068063,-15.35579725477244,Down,Down,HDFCBANK.NS
2022-10-14,1439.0,1615.0827998428222,1527.8391251024514,1686.4924153454297,-12.236469759751367,Up,Up,HDFCBANK.NS
2022-10-17,1446.550049,1617.7608817664072,1530.1174321136907,1695.764420292736,-11.835804290682187,Up,Up,HDFCBANK.NS
2022-10-18,1456.0,1626.838285651835,1539.950081833782,1701.3933468166456,-11.733398739823825,Up,Up,HDFCBANK.NS
2022-10-19,1468.550049,1626.8773130718705,1536.518125113188,1698.9516070989878,-10.781196335779127,Up,Up,HDFCBANK.NS
2022-10-20,,1619.4279305341888,1530.3051788969349,1702.9054096648522,,nan,Down,HDFCBANK.NS
