Date,Close,Company,Open,High,Low,Adj Close,Volume
2017-10-19,924.200012,HDFCBANK.NS,930.900024,932.5,920.325012,896.289917,285004.0
2017-10-23,931.650024,HDFCBANK.NS,929.950012,934.849976,918.025024,903.514893,2081446.0
2017-10-24,933.549988,HDFCBANK.NS,931.5,939.799988,926.5,905.357483,5664436.0
2017-10-25,897.549988,HDFCBANK.NS,930.0,931.5,892.5,870.444641,10683604.0
2017-10-26,897.674988,HDFCBANK.NS,884.0,905.0,878.924988,870.565979,14285732.0
2017-10-27,895.525024,HDFCBANK.NS,902.200012,903.75,889.5,868.480835,3736044.0
2017-10-30,907.5,HDFCBANK.NS,899.125,908.0,896.200012,880.094116,2711176.0
2017-10-31,904.25,HDFCBANK.NS,905.75,905.75,899.625,876.942383,2341230.0
2017-11-01,910.599976,HDFCBANK.NS,907.549988,912.5,906.0,883.100586,2095306.0
2017-11-02,911.049988,HDFCBANK.NS,911.5,914.900024,908.474976,883.536987,2368972.0
2017-11-03,915.349976,HDFCBANK.NS,912.849976,920.0,910.799988,887.707153,1905244.0
2017-11-06,914.299988,HDFCBANK.NS,912.5,920.0,911.299988,886.688843,3074122.0
2017-11-07,911.849976,HDFCBANK.NS,919.0,922.474976,910.375,884.312744,3723188.0
2017-11-08,912.974976,HDFCBANK.NS,912.599976,916.799988,909.5,885.403809,1641572.0
2017-11-09,913.924988,HDFCBANK.NS,913.5,917.5,910.549988,886.325134,1556654.0
2017-11-10,911.0,HDFCBANK.NS,910.849976,917.400024,906.174988,883.488464,3872180.0
2017-11-13,906.775024,HDFCBANK.NS,911.0,911.575012,897.5,879.391113,1667936.0
2017-11-14,901.174988,HDFCBANK.NS,907.950012,909.5,900.0,873.960205,2356234.0
2017-11-15,900.125,HDFCBANK.NS,899.0,901.825012,894.0,872.941956,3074184.0
2017-11-16,903.849976,HDFCBANK.NS,902.0,908.0,897.599976,876.554321,2006486.0
2017-11-17,912.775024,HDFCBANK.NS,914.349976,919.150024,906.575012,885.2099,3179386.0
2017-11-20,919.075012,HDFCBANK.NS,914.5,919.849976,914.5,891.319641,1196212.0
2017-11-21,923.125,HDFCBANK.NS,918.724976,925.0,918.049988,895.247314,1137766.0
2017-11-22,927.625,HDFCBANK.NS,924.849976,930.0,922.275024,899.61145,2830398.0
2017-11-23,921.424988,HDFCBANK.NS,929.5,930.0,919.0,893.598633,1616290.0
2017-11-24,925.700012,HDFCBANK.NS,921.5,928.900024,920.5,897.744568,2601842.0
2017-11-27,928.775024,HDFCBANK.NS,924.5,931.0,922.799988,900.726685,1935236.0
2017-11-28,932.674988,HDFCBANK.NS,928.0,935.5,927.924988,904.508911,2545270.0
